Note_Type,left_fist_dist,left_fist_angle,right_fist_dist,right_fist_angle,left_arm_angle,right_arm_angle,nose_position,nose_above_shoulder
JAB_L,0.29597634880277734,312.93190972750574,0.5393742441018281,110.06691504650692,0.19811751238636366,179.84776007599953,-0.030133422668813713,1
STRAIGHT_R,0.30643457910616767,334.0829091905738,0.5086037401267193,124.45098668583286,9.701016263100472,27.30473750789327,-0.18292234053978706,1
GUARD,0.27690251380866543,330.2141635835717,0.4096614432374246,122.42849191931107,10.10052274055977,3.031050990791972,-0.10262735143771541,1
WEAVE_L,0.48824502870386,70.93541133891769,0.13838236520011357,172.4710148919182,86.16031625556215,32.084221342226265,-0.023213402816348132,1
JAB_L,0.2502516120451615,322.4539539643776,0.47863493479438174,123.12873635095094,1.3386246175302443,48.75902915685086,-0.09850217207291545,1
STRAIGHT_R,0.2822118393165557,307.54546737076885,0.586287717103532,120.93110936601425,12.820879561340814,56.75740037589068,0.1113178758446918,1
GUARD,0.3215326107797832,312.18797537046305,0.4721946159984363,130.61776863409287,1.91973078770326,3.711692187322703,0.03733006147909805,1
WEAVE_R,0.4308555597831931,309.69578299219995,0.807242841509961,94.13026225099914,3.867448904655524,166.69619263349435,0.006411090356605958,1
JAB_L,0.17548722768909744,15.494912274915405,0.37451420621757925,121.23861548325982,0.4277327038368801,17.55815639516605,-0.04392333782729869,1
STRAIGHT_R,0.3229280484397578,321.10792699966294,0.47890413047846475,121.74756841977597,6.622183924898719,2.4543398406814068,-0.1454338683894855,1
GUARD,0.21721598802380981,323.46483553343916,0.3844956492511631,131.63827725217993,8.289659426722949,3.049262452533927,-0.11119334487912169,1
WEAVE_L,0.25698263818891093,1.3029403008944866,0.5560997926049477,96.51363882132019,11.480965564988505,2.130354733466519,0.02867849744636563,1
JAB_L,0.27421312134496023,326.61825195699674,0.4724717782500856,114.73497074720486,2.0736148831719796,2.297669268400368,-0.049067271213988684,1
STRAIGHT_R,0.31221689192849383,311.8552585087813,0.47868006856439516,124.57927290804338,0.2613847621647278,13.8184454137191,0.022317429465796675,1
GUARD,0.3124403346944333,322.026698149211,0.361469220893634,146.19869165401573,3.640335907195814,9.863198089917205,0.029166939534138313,1
WEAVE_R,0.7370016444540258,82.44902488517384,0.16443181936996829,224.89424570806005,142.01487888985272,30.433086865956085,-0.10251785420528335,1
JAB_L,0.2962075485591401,315.1515488628578,0.42768352863042025,118.895580276838,5.016129012443328,32.8692117596525,-0.18112786232765038,1
STRAIGHT_R,0.27581142101577194,324.37642523922307,0.48094693087805857,121.66448262260373,5.839599378084332,16.915356179655088,-0.15292966134828362,1
